Symbol
WBA
V
CRM
CVX
PG
VZ
WMT
UNH
TRV
MCD
MMM
NKE
MRK
MSFT
JPM
KO
JNJ
GS
HD
HON
IBM
INTC
DIS
CAT
CSCO
AXP
BA
AMGN
AAPL
DOW
